word;commonality
horse;1
hum;1
piece;1
side;2
whole;2
bug;1
tree;1
turtle;1
bet;1
even;2
eating;1
getting;1
jumping;1
looking;1
swing;1
fix;1
fixed;1
wanted;1
face;2
lift;1
pet;1
leaf;1
ya;1
before;1
while;1
same;2
most;2
may;2
must;1
everything;2
somebody;2
someone;2
ours;1
myself;1
never;2
somewhere;1
being;1
peace;1
hour;1
microphone;1
Miss;1
alright;1
dude;1
second;1
record;1
talk;1
minute;1
dang;1
pas;1
pass;1
word;1
god;1
shall;1
actually;1
wish;1
night;1
rhombus;1
thirty;1
eight;1
hell;1
nine;1
polygon;1
shoot;1
triangle;1
Mr;1
twenty;1
awesome;1
voice;1
ten;1
suck;1
homie;1
class;1
twelve;1
bro;1
six;1
probably;1
crack;1
pocket;1
ask;1
draw;1
goal;1
poo;1
recorder;1
win;1
forget;1
kid;1
animal;1
Ms;1
cappuccino;1
cook;1
excuse;1
touch;1
damn;1
dollar;1
hit;1
hundred;1
hate;1
anything;1
guess;1
weird;1
jacket;1
press;1
small;1
trapezoid;1
clock;1
dumb;1
ever;1
hexagon;1
serve;1
taste;1
rectangle;1
grade;1
nothing;1
zookeeper;1
whatever;1
blood;1
Chinese;1
half;1
narrow;1
smash;1
wear;1
wrong;1
rotten;1
easy;1
sun;1
happen;1
movie;1
parallelogram;1
number;1
bagel;1
meat;1
sauce;1
sixty;1
chip;1
cry;1
drama;1
eleven;1
sing;1
jingle;1
morning;1
recording;1
song;1
point;1
shape;1
everyone;1
fast;1
father;1
fifteen;1
Germany;1
gum;1
heck;1
laugh;1
listen;1
mess;1
punch;1
die;1
thirteen;1
basketball;1
beat;1
bing;1
cheese;1
English;1
fuck;1
homework;1
paper;1
Thai;1
yesterday;1
