word;list;POS;type;commonality
climate;J;NN;OpenClass;1
above;J;IN;ClosedClass;1
sea;J;NN;OpenClass;1
butte;J;NN;OpenClass;1
butt;J;NN;OpenClass;1
call;J;NN;OpenClass;3
mall;J;NN;OpenClass;1
much;J;JJ;OpenClass;3
hill;J;NN;OpenClass;2
kind;J;NN;OpenClass;3
flow;J;NN;OpenClass;1
fall;J;NN;OpenClass;4
dust;J;NN;OpenClass;1
bowl;J;NN;OpenClass;1
area;J;NN;OpenClass;1
grow;J;NN;OpenClass;1
found;J;NN;OpenClass;4
find;J;VB;OpenClass;5
crop;J;NN;OpenClass;1
circle;J;NN;OpenClass;1
I;J;PRP;ClosedClass;9
Lincoln;J;NN;OpenClass;1
am;J;VBP;OpenClass;5
december;J;NN;OpenClass;1
Mrs;J;NN;OpenClass;2
november;J;NN;OpenClass;1
thanksgiving;J;VBG;OpenClass;1
christmas;J;NN;OpenClass;2
Meadow;J;NN;OpenClass;1
Lane;J;NN;OpenClass;1
Nebraska;J;NN;OpenClass;1
Lancaster;J;NN;OpenClass;1
Indians;J;NNS;OpenClass;1
Indianapolis;J;NNS;OpenClass;1
thursday;J;NN;OpenClass;1
Nebraskas;J;NN;OpenClass;1
mom;J;NN;OpenClass;6
beet;J;NN;OpenClass;1
car;J;NN;OpenClass;5
foot;J;NN;OpenClass;3
mile;J;NN;OpenClass;1
field;J;NN;OpenClass;2
our;J;PRP$;ClosedClass;7
their;J;PRP$;ClosedClass;4
his;J;PRP$;ClosedClass;8
so;J;RB;OpenClass;7
just;J;RB;OpenClass;6
dentist;J;NN;OpenClass;1
alot;J;NN;OpenClass;1
long;J;RB;OpenClass;3
ago;J;RB;OpenClass;1
too;J;RB;OpenClass;7
favorite;J;NN;OpenClass;2
mix;J;NN;OpenClass;1
put;J;NN;OpenClass;7
china;J;NN;OpenClass;1
elevation;J;NN;OpenClass;1
make;J;VB;OpenClass;7
made;J;VBN;OpenClass;4
are;J;VBP;OpenClass;6
fine;J;NN;OpenClass;2
outside;J;IN;ClosedClass;4
see;J;VB;OpenClass;7
hobby;J;NN;OpenClass;1
disadvantage;J;NN;OpenClass;1
cranberry;J;NN;OpenClass;1
summer;J;NN;OpenClass;1
begin;J;NN;OpenClass;1
flat;J;JJ;OpenClass;2
famous;J;JJ;OpenClass;1
ha;J;NN;OpenClass;6
coin;J;NN;OpenClass;1
yes;J;NNS;OpenClass;8
need;J;NN;OpenClass;5
he;J;PRP;ClosedClass;7
hey;J;NN;OpenClass;3
more;J;RBR;OpenClass;6
look;J;NN;OpenClass;5
okay;J;NN;OpenClass;4
take;J;VB;OpenClass;5
let;J;VB;OpenClass;5
these;J;DT;ClosedClass;5
oh;J;NN;OpenClass;4
two;J;CD;ClosedClass;6
us;J;PRP;ClosedClass;5
down;J;RB;OpenClass;5
right;J;NN;OpenClass;5
little;J;JJ;OpenClass;6
mine;J;NN;OpenClass;6
where;J;WRB;ClosedClass;5
paint;J;NN;OpenClass;2
Katie;J;NNP;OpenClass;1
off;J;IN;ClosedClass;6
done;J;VBN;OpenClass;4
who;J;WP;ClosedClass;5
chair;J;NN;OpenClass;3
three;J;CD;ClosedClass;5
please;J;NN;OpenClass;5
those;J;DT;ClosedClass;5
boo;J;NN;OpenClass;1
show;J;NN;OpenClass;4
sit;J;NN;OpenClass;5
hat;J;NN;OpenClass;2
blue;J;NN;OpenClass;2
stomp;J;NN;OpenClass;1
Aaron;J;NNP;OpenClass;1
back;J;RB;OpenClass;6
wash;J;NN;OpenClass;4
another;J;DT;ClosedClass;3
Colby;J;NN;OpenClass;1
why;J;WRB;ClosedClass;5
away;J;RB;OpenClass;5
give;J;VB;OpenClass;6
help;J;NN;OpenClass;6
again;J;RB;OpenClass;4
milk;J;NN;OpenClass;2
water;J;NN;OpenClass;5
juice;J;NN;OpenClass;4
making;J;VBG;OpenClass;2
open;J;JJ;OpenClass;5
or;J;CC;ClosedClass;3
other;J;JJ;OpenClass;5
red;J;JJ;OpenClass;3
room;J;NN;OpenClass;3
white;J;JJ;OpenClass;1
yellow;J;NN;OpenClass;1
green;J;JJ;OpenClass;3
whoa;J;NN;OpenClass;1
doghouse;J;NN;OpenClass;1
hair;J;NN;OpenClass;2
hand;J;NN;OpenClass;5
use;J;NN;OpenClass;3
way;J;NN;OpenClass;4
baby;J;NN;OpenClass;5
stay;J;NN;OpenClass;4
yet;J;RB;OpenClass;2
noodle;J;NN;OpenClass;1
cracker;J;NN;OpenClass;1
four;J;CD;ClosedClass;3
guy;J;NN;OpenClass;5
hi;J;NN;OpenClass;4
peanut;J;NN;OpenClass;1
playhouse;J;NN;OpenClass;1
sand;J;NN;OpenClass;2
sister;J;NN;OpenClass;4
spider;J;NN;OpenClass;2
butter;J;NN;OpenClass;1
egg;J;NN;OpenClass;2
mommy;J;NN;OpenClass;2
orange;J;NN;OpenClass;1
stop;J;NN;OpenClass;5
sure;J;NN;OpenClass;2
thank;J;NN;OpenClass;2
boat;J;NN;OpenClass;1
cut;J;NN;OpenClass;3
first;J;RB;OpenClass;6
fish;J;NN;OpenClass;2
glue;J;NN;OpenClass;2
light;J;NN;OpenClass;1
lunch;J;NN;OpenClass;5
shoe;J;NN;OpenClass;3
stand;J;NN;OpenClass;1
tickle;J;NN;OpenClass;1
train;J;NN;OpenClass;1
already;J;RB;OpenClass;3
ball;J;NN;OpenClass;6
cat;J;NN;OpenClass;3
game;J;NN;OpenClass;3
him;J;PRP;ClosedClass;5
Missy;J;NN;OpenClass;1
new;J;JJ;OpenClass;5
real;J;JJ;OpenClass;2
Susie;J;NN;OpenClass;1
tape;J;NN;OpenClass;2
top;J;NN;OpenClass;2
try;J;NN;OpenClass;3
trying;J;VBG;OpenClass;2
whoop;J;NN;OpenClass;1
cake;J;NN;OpenClass;1
clean;J;NN;OpenClass;1
color;J;NN;OpenClass;1
coming;J;VBG;OpenClass;2
gone;J;VBN;OpenClass;1
Jamie;J;NN;OpenClass;1
move;J;NN;OpenClass;4
party;J;NN;OpenClass;1
wand;J;NN;OpenClass;1
ate;J;NN;OpenClass;1
bell;J;NN;OpenClass;2
black;J;JJ;OpenClass;2
cow;J;NN;OpenClass;1
farm;J;NN;OpenClass;1
hide;J;NN;OpenClass;1
leg;J;NN;OpenClass;2
line;J;NN;OpenClass;2
ready;J;JJ;OpenClass;3
say;J;VB;OpenClass;7
said;J;VBD;OpenClass;6
scissors;J;NNS;OpenClass;1
scissor;J;NN;OpenClass;1
suppose;J;NN;OpenClass;2
table;J;NN;OpenClass;3
turn;J;NN;OpenClass;5
almost;J;RB;OpenClass;3
an;J;DT;ClosedClass;3
any;J;DT;ClosedClass;3
birthday;J;NN;OpenClass;2
bit;J;NN;OpenClass;3
bite;J;NN;OpenClass;4
Bobby;J;NN;OpenClass;1
door;J;NN;OpenClass;3
else;J;RB;OpenClass;4
fence;J;NN;OpenClass;1
fire;J;NN;OpenClass;2
five;J;CD;ClosedClass;4
girl;J;NN;OpenClass;4
thirsty;J;NN;OpenClass;1
under;J;IN;ClosedClass;1
bad;J;JJ;OpenClass;3
close;J;RB;OpenClass;2
grandma;J;NN;OpenClass;1
happy;J;JJ;OpenClass;2
hug;J;NN;OpenClass;1
hungry;J;NN;OpenClass;1
peanut butter;J;NN;OpenClass;1
potty;J;NN;OpenClass;1
sick;J;NN;OpenClass;1
toy;J;NN;OpenClass;2
bath;J;NN;OpenClass;1
bathroom;J;NN;OpenClass;2
bed;J;NN;OpenClass;2
boy;J;NN;OpenClass;4
breakfast;J;NN;OpenClass;1
brother;J;NN;OpenClass;3
cereal;J;NN;OpenClass;1
coat;J;NN;OpenClass;1
cookie;J;NN;OpenClass;2
drink;J;NN;OpenClass;3
eye;J;NN;OpenClass;2
garage;J;NN;OpenClass;1
good bye;J;NN;OpenClass;1
head;J;NN;OpenClass;3
hot;J;JJ;OpenClass;3
hurt;J;NN;OpenClass;1
inside;J;IN;ClosedClass;2
music;J;NN;OpenClass;1
sad;J;NN;OpenClass;1
store;J;NN;OpenClass;1
story;J;NN;OpenClass;1
thank you;J;NN;OpenClass;1
TV;J;NN;OpenClass;1
mad;J;NN;OpenClass;1
pant;J;NN;OpenClass;1
around;J;IN;ClosedClass;4
doll;J;NN;OpenClass;1
kitchen;J;NN;OpenClass;2
ride;J;NN;OpenClass;2
work;J;NN;OpenClass;2
cold;J;NN;OpenClass;2
shirt;J;NN;OpenClass;1
tire;J;NN;OpenClass;1
tired;J;VBN;OpenClass;1
sleep;J;NN;OpenClass;1
walk;J;NN;OpenClass;2
through;J;IN;ClosedClass;1
ant;J;NN;OpenClass;1
different;J;JJ;OpenClass;1
fly;J;NN;OpenClass;1
hear;J;NN;OpenClass;2
last;J;JJ;OpenClass;3
messy;J;NN;OpenClass;1
next;J;JJ;OpenClass;4
nice;J;JJ;OpenClass;3
ok;J;NN;OpenClass;2
saw;J;NN;OpenClass;3
shut;J;NN;OpenClass;1
used;J;VBN;OpenClass;1
bean;J;NN;OpenClass;1
bird;J;NN;OpenClass;2
box;J;NN;OpenClass;1
candy;J;NN;OpenClass;1
catch;J;NN;OpenClass;3
cause;J;NN;OpenClass;1
cup;J;NN;OpenClass;1
doctor;J;NN;OpenClass;1
duck;J;NN;OpenClass;1
finger;J;NN;OpenClass;1
hello;J;NN;OpenClass;3
horse;J;NN;OpenClass;1
huh;J;NN;OpenClass;2
hum;J;NN;OpenClass;1
jump;J;NN;OpenClass;3
man;J;NN;OpenClass;3
pick;J;NN;OpenClass;3
piece;J;NN;OpenClass;1
push;J;NN;OpenClass;3
remember;J;VB;OpenClass;3
run;J;VB;OpenClass;3
side;J;NN;OpenClass;2
wait;J;NN;OpenClass;3
whole;J;JJ;OpenClass;2
um;J;NN;OpenClass;3
bug;J;NN;OpenClass;1
tree;J;NN;OpenClass;1
turtle;J;NN;OpenClass;1
bet;J;NN;OpenClass;1
better;J;RBR;OpenClass;2
even;J;RB;OpenClass;2
still;J;RB;OpenClass;3
mean;J;NN;OpenClass;2
throw;J;NN;OpenClass;3
eating;J;VBG;OpenClass;1
getting;J;VBG;OpenClass;1
jumping;J;NN;OpenClass;1
looking;J;VBG;OpenClass;1
swing;J;VBG;OpenClass;1
fix;J;NN;OpenClass;1
fixed;J;VBN;OpenClass;1
wanted;J;VBD;OpenClass;1
ah;J;NN;OpenClass;3
buy;J;VB;OpenClass;2
face;J;NN;OpenClass;2
hold;J;NN;OpenClass;2
lift;J;NN;OpenClass;1
pet;J;NN;OpenClass;1
leaf;J;NN;OpenClass;1
leave;J;VB;OpenClass;3
ya;J;NN;OpenClass;1
both;J;DT;ClosedClass;1
before;J;IN;ClosedClass;1
than;J;IN;ClosedClass;3
while;J;IN;ClosedClass;1
same;J;JJ;OpenClass;2
most;J;JJS;OpenClass;2
may;J;MD;ClosedClass;2
must;J;MD;ClosedClass;1
everybody;J;NN;OpenClass;2
everything;J;NN;OpenClass;2
somebody;J;NN;OpenClass;2
someone;J;NN;OpenClass;2
ours;J;NNS;OpenClass;1
yours;J;NNS;OpenClass;3
myself;J;PRP;ClosedClass;1
never;J;RB;OpenClass;2
only;J;RB;OpenClass;3
really;J;RB;OpenClass;3
sometimes;J;RB;OpenClass;2
somewhere;J;RB;OpenClass;1
cannot;J;NN;OpenClass;2
being;J;VBG;OpenClass;1
which;J;WDT;ClosedClass;3
yeah;J;NN;OpenClass;4
all done;J;NN;OpenClass;1
finish;J;NN;OpenClass;3
finished;J;VBN;OpenClass;2
Spiderman;J;NN;OpenClass;1
dwant;J;NN;OpenClass;1
yep;J;NN;OpenClass;1
mum;J;NN;OpenClass;2
woh;J;NN;OpenClass;1
gotta;J;NN;OpenClass;1
yummy;J;NN;OpenClass;1
mummy;J;NN;OpenClass;1
hah;J;NN;OpenClass;1
kick;J;NN;OpenClass;2
quick;J;NN;OpenClass;1
hole;J;NN;OpenClass;1
keep;J;VB;OpenClass;2
nah;J;NN;OpenClass;1
naughty;J;NN;OpenClass;1
apple;J;NN;OpenClass;2
dig;J;NN;OpenClass;1
shhh;J;NN;OpenClass;1
yum;J;NN;OpenClass;1
cool;J;NN;OpenClass;3
oow;J;NN;OpenClass;1
seat;J;NN;OpenClass;1
bottom;J;NN;OpenClass;1
into;J;IN;ClosedClass;3
telling;J;VBG;OpenClass;1
bin;J;NN;OpenClass;1
playing;J;VBG;OpenClass;2
seven;J;CD;ClosedClass;2
sorry;J;NN;OpenClass;2
step;J;NN;OpenClass;1
break;J;NN;OpenClass;2
broke;J;NN;OpenClass;1
fell;J;VBD;OpenClass;1
stick;J;NN;OpenClass;2
stuck;J;NN;OpenClass;1
beautiful;J;NN;OpenClass;1
bring;J;NN;OpenClass;2
bum;J;NN;OpenClass;1
funny;J;NN;OpenClass;2
should;J;MD;ClosedClass;1
Anna;J;NNP;OpenClass;1
lost;J;VBN;OpenClass;1
lose;J;VB;OpenClass;2
policeman;J;NN;OpenClass;1
brown;J;NN;OpenClass;1
best;J;JJS;OpenClass;1
frog;J;NN;OpenClass;2
miss;J;NN;OpenClass;1
cousin;J;NN;OpenClass;1
pool;J;NN;OpenClass;1
trip;J;NN;OpenClass;1
aunt;J;NN;OpenClass;1
bunny;J;NN;OpenClass;1
rabbit;J;NN;OpenClass;1
easter;J;NN;OpenClass;1
Mrs.;J;NNP;OpenClass;1
pretty;J;RB;OpenClass;2
bear;J;NN;OpenClass;2
played;J;NNS;OpenClass;1
peace;J;NN;OpenClass;1
hour;J;NN;OpenClass;1
microphone;J;NN;OpenClass;1
Miss;J;NNP;OpenClass;1
alright;J;NN;OpenClass;1
dude;J;NN;OpenClass;1
second;J;JJ;OpenClass;1
record;J;NN;OpenClass;1
talk;J;NN;OpenClass;1
minute;J;NN;OpenClass;1
dang;J;NN;OpenClass;1
pas;J;NN;OpenClass;1
pass;J;NN;OpenClass;1
word;J;NN;OpenClass;1
god;J;NN;OpenClass;1
shall;J;MD;ClosedClass;1
actually;J;RB;OpenClass;1
wish;J;NN;OpenClass;1
night;J;NN;OpenClass;1
rhombus;J;NN;OpenClass;1
thirty;J;NN;OpenClass;1
eight;J;CD;ClosedClass;1
hell;J;NN;OpenClass;1
nine;J;CD;ClosedClass;1
polygon;J;NN;OpenClass;1
sign;J;NN;OpenClass;1
shoot;J;NN;OpenClass;1
triangle;J;NN;OpenClass;1
Mr;J;NN;OpenClass;1
twenty;J;NN;OpenClass;1
awesome;J;NN;OpenClass;1
voice;J;NN;OpenClass;1
feel;J;NN;OpenClass;1
hard;J;JJ;OpenClass;1
ten;J;NNS;OpenClass;1
suck;J;NN;OpenClass;1
homie;J;NN;OpenClass;1
class;J;NN;OpenClass;1
twelve;J;NN;OpenClass;1
bro;J;NN;OpenClass;1
six;J;CD;ClosedClass;1
probably;J;RB;OpenClass;1
crack;J;NN;OpenClass;1
pocket;J;NN;OpenClass;1
ask;J;NN;OpenClass;1
draw;J;NN;OpenClass;1
goal;J;NN;OpenClass;1
poo;J;NN;OpenClass;1
recorder;J;NN;OpenClass;1
win;J;NN;OpenClass;1
forget;J;NN;OpenClass;1
kid;J;NN;OpenClass;1
animal;J;NN;OpenClass;1
Ms;J;NN;OpenClass;1
cappuccino;J;NN;OpenClass;1
cook;J;NN;OpenClass;1
excuse;J;NN;OpenClass;1
touch;J;NN;OpenClass;1
damn;J;NN;OpenClass;1
dollar;J;NN;OpenClass;1
hit;J;NN;OpenClass;1
hundred;J;VBN;OpenClass;1
hate;J;NN;OpenClass;1
anything;J;NN;OpenClass;1
guess;J;NN;OpenClass;1
weird;J;NN;OpenClass;1
jacket;J;NN;OpenClass;1
press;J;NN;OpenClass;1
small;J;JJ;OpenClass;1
trapezoid;J;NN;OpenClass;1
clock;J;NN;OpenClass;1
dumb;J;NN;OpenClass;1
ever;J;RB;OpenClass;1
hexagon;J;NN;OpenClass;1
serve;J;NN;OpenClass;1
taste;J;NN;OpenClass;1
rectangle;J;NN;OpenClass;1
grade;J;NN;OpenClass;1
nothing;J;NN;OpenClass;1
zookeeper;J;NN;OpenClass;1
whatever;J;WDT;ClosedClass;1
blood;J;NN;OpenClass;1
Chinese;J;JJ;OpenClass;1
half;J;NN;OpenClass;1
narrow;J;NN;OpenClass;1
smash;J;NN;OpenClass;1
wear;J;NN;OpenClass;1
wow;J;NN;OpenClass;1
wrong;J;JJ;OpenClass;1
rotten;J;VB;OpenClass;1
easy;J;JJ;OpenClass;1
sun;J;NN;OpenClass;1
happen;J;VB;OpenClass;1
movie;J;NN;OpenClass;1
parallelogram;J;NN;OpenClass;1
number;J;NN;OpenClass;1
bagel;J;NN;OpenClass;1
meat;J;NN;OpenClass;1
sauce;J;NN;OpenClass;1
sixty;J;NN;OpenClass;1
chip;J;NN;OpenClass;1
cry;J;NN;OpenClass;1
drama;J;NN;OpenClass;1
eleven;J;RB;OpenClass;1
sing;J;VBG;OpenClass;1
jingle;J;NN;OpenClass;1
morning;J;NN;OpenClass;1
recording;J;VBG;OpenClass;1
song;J;NN;OpenClass;1
point;J;NN;OpenClass;1
shape;J;NN;OpenClass;1
everyone;J;NN;OpenClass;1
fast;J;NN;OpenClass;1
father;J;NN;OpenClass;1
fifteen;J;NN;OpenClass;1
Germany;J;NNP;OpenClass;1
gum;J;NN;OpenClass;1
heck;J;NN;OpenClass;1
laugh;J;NN;OpenClass;1
listen;J;NN;OpenClass;1
mess;J;NN;OpenClass;1
punch;J;NN;OpenClass;1
die;J;NN;OpenClass;1
thirteen;J;NN;OpenClass;1
basketball;J;NN;OpenClass;1
beat;J;NN;OpenClass;1
bing;J;NN;OpenClass;1
cheese;J;NN;OpenClass;1
English;J;JJ;OpenClass;1
fuck;J;NN;OpenClass;1
homework;J;NN;OpenClass;1
paper;J;NN;OpenClass;1
Thai;J;NN;OpenClass;1
yesterday;J;NN;OpenClass;1
