list;word;pos
A;summer;NN
A;summer;VB
A;begin;NN
A;begin;VB
A;flat;NN
A;flat;JJ
A;flat;RB
A;famous;JJ
A;ha;NN
A;coin;NN
A;coin;VB
A;yes;NN
B;I;PRP
B;to;TO
B;be;VB
B;you;PRP
B;the;DT
B;a;DT
B;it;PRP
B;this;DT
B;not;RB
B;yes;NN
B;that;IN
B;my;PRP$
B;am;NN
B;here;NN
B;here;JJ
B;here;RB
B;and;CC
B;no;DT
B;one;CD
B;going;NN
B;go;VB
B;going;JJ
B;do;NN
B;do;VB
B;there;NN
B;there;RB
B;want;NN
B;want;VB
B;in;IN
B;on;IN
B;have;NN
B;have;VB
B;can;MD
B;what;WP
B;will;MD
B;we;PRP
B;get;NN
B;get;VB
B;some;DT
B;are;NN
B;go;NN
B;go;JJ
B;me;PRP
B;put;NN
B;put;VB
B;need;NN
B;need;VB
B;up;VB
B;up;JJ
B;up;RB
B;now;NN
B;now;RB
B;he;PRP
B;hey;NN
B;of;IN
B;all;DT
B;your;PRP$
B;come;NN
B;come;VB
B;more;NN
B;more;JJ
B;more;RB
B;look;NN
B;look;VB
B;okay;NN
B;okay;VB
B;okay;JJ
B;okay;RB
B;take;NN
B;take;VB
B;make;NN
B;make;VB
B;like;IN
B;let;NN
B;let;VB
B;be;NN
B;these;DT
B;for;IN
B;out;IN
B;oh;NN
B;two;CD
B;us;PRP
B;with;IN
B;down;NN
B;down;VB
B;down;JJ
B;down;RB
B;know;NN
B;know;VB
B;right;NN
B;right;VB
B;right;JJ
B;right;RB
B;see;NN
B;see;VB
B;little;NN
B;little;JJ
B;little;RB
B;she;PRP
B;they;PRP
B;eat;VB
B;big;JJ
B;big;RB
B;mine;NN
B;mine;VB
B;at;IN
B;where;WRB
B;paint;NN
B;paint;VB
B;them;PRP
B;Katie;NNP
B;off;IN
B;over;IN
B;home;NN
B;home;VB
B;home;JJ
B;home;RB
B;play;NN
B;play;VB
B;so;NN
B;so;RB
B;done;JJ
B;just;JJ
B;just;RB
B;dog;NN
B;dog;VB
B;how;WRB
B;who;WP
B;name;NN
B;name;VB
B;chair;NN
B;chair;VB
B;good;NN
B;good;JJ
B;good;RB
B;house;NN
B;house;VB
B;three;CD
B;please;VB
B;please;RB
B;those;DT
B;because;IN
B;doe;NN
B;too;RB
B;boo;NN
B;boo;VB
B;but;CC
B;ha;NN
B;show;NN
B;show;VB
B;sit;VB
B;hat;NN
B;hat;VB
B;blue;NN
B;blue;VB
B;blue;JJ
B;her;PRP$
B;stomp;NN
B;stomp;VB
B;wa;NN
B;Aaron;NNP
B;back;NN
B;back;VB
B;back;JJ
B;back;RB
B;time;NN
B;time;VB
B;wash;NN
B;wash;VB
B;another;DT
B;by;IN
B;Colby;NN
B;then;NN
B;then;JJ
B;then;RB
B;why;WRB
B;away;JJ
B;away;RB
B;give;NN
B;give;VB
B;help;NN
B;help;VB
B;his;PRP$
B;again;RB
B;milk;NN
B;milk;VB
B;water;NN
B;water;VB
B;juice;NN
B;our;PRP$
B;making;NN
B;open;NN
B;open;VB
B;open;JJ
B;or;CC
B;other;JJ
B;red;NN
B;red;JJ
B;room;NN
B;room;VB
B;think;NN
B;think;VB
B;white;NN
B;white;VB
B;white;JJ
B;yellow;NN
B;yellow;VB
B;yellow;JJ
B;green;NN
B;green;VB
B;green;JJ
B;whoa;NN
B;dad;NN
B;doghouse;NN
B;hair;NN
B;hand;NN
B;hand;VB
B;use;NN
B;use;VB
B;way;NN
B;way;RB
B;when;WRB
B;baby;NN
B;baby;VB
B;fall;NN
B;fall;VB
B;stay;NN
B;stay;VB
B;yet;RB
B;mom;NN
B;noodle;NN
B;watch;NN
B;watch;VB
B;cracker;NN
B;found;NN
B;find;VB
B;found;JJ
B;four;CD
B;guy;NN
B;guy;VB
B;hi;NN
B;one;NN
B;peanut;NN
B;peanut;JJ
B;playhouse;NN
B;sand;NN
B;sand;VB
B;sister;NN
B;spider;NN
B;butter;NN
B;butter;VB
B;car;NN
B;egg;NN
B;egg;VB
B;maybe;RB
B;mommy;NN
B;orange;NN
B;orange;JJ
B;stop;NN
B;stop;VB
B;sure;JJ
B;sure;RB
B;thank;VB
B;boat;NN
B;boat;VB
B;could;MD
B;cut;NN
B;cut;VB
B;cut;JJ
B;first;NN
B;first;JJ
B;first;RB
B;fish;NN
B;fish;VB
B;glue;NN
B;glue;VB
B;light;NN
B;light;VB
B;light;JJ
B;light;RB
B;lot;NN
B;lot;VB
B;lunch;NN
B;lunch;VB
B;shoe;NN
B;shoe;VB
B;something;NN
B;stand;NN
B;stand;VB
B;tickle;NN
B;tickle;VB
B;train;NN
B;train;VB
B;already;RB
B;ball;NN
B;ball;VB
B;cat;NN
B;cat;VB
B;game;NN
B;game;VB
B;game;JJ
B;him;PRP
B;made;JJ
B;Missy;NN
B;money;NN
B;new;JJ
B;new;RB
B;real;NN
B;real;JJ
B;real;RB
B;Susie;NN
B;tape;NN
B;tape;VB
B;tell;NN
B;tell;VB
B;today;NN
B;today;RB
B;top;NN
B;top;VB
B;top;JJ
B;try;VB
B;trying;JJ
B;whoop;NN
B;whoop;VB
B;cake;NN
B;cake;VB
B;clean;NN
B;clean;VB
B;clean;JJ
B;clean;RB
B;color;NN
B;color;VB
B;color;JJ
B;coming;NN
B;coming;JJ
B;foot;NN
B;food;NN
B;gone;JJ
B;Jamie;NN
B;many;JJ
B;move;NN
B;move;VB
B;party;NN
B;party;VB
B;thing;NN
B;wand;NN
B;ate;NN
B;bell;NN
B;bell;VB
B;black;NN
B;black;VB
B;black;JJ
B;cow;NN
B;cow;VB
B;farm;NN
B;farm;VB
B;foot;VB
B;hide;NN
B;hide;VB
B;leg;NN
B;line;NN
B;line;VB
B;middle;NN
B;middle;VB
B;middle;JJ
B;ready;NN
B;ready;VB
B;ready;JJ
B;say;VB
B;said;JJ
B;scissors;NN
B;scissor;VB
B;suppose;VB
B;table;NN
B;table;VB
B;try;NN
B;turn;NN
B;turn;VB
B;almost;RB
B;an;DT
B;any;DT
B;birthday;NN
B;bit;NN
B;bite;VB
B;Bobby;NN
B;door;NN
B;else;RB
B;fence;NN
B;fence;VB
B;find;NN
B;fire;NN
B;fire;VB
B;five;CD
B;girl;NN
C;and;CC
C;but;CC
C;one;CD
C;three;CD
C;two;CD
C;a;DT
C;all;DT
C;no;DT
C;some;DT
C;the;DT
C;these;DT
C;this;DT
C;those;DT
C;there;NN
C;there;RB
C;about;IN
C;at;IN
C;because;IN
C;by;IN
C;for;IN
C;if;IN
C;in;IN
C;like;IN
C;love;NN
C;love;VB
C;of;IN
C;on;IN
C;out;IN
C;over;IN
C;that;IN
C;thirsty;JJ
C;under;IN
C;up;VB
C;up;JJ
C;up;RB
C;with;IN
C;bad;NN
C;bad;JJ
C;bad;RB
C;big;JJ
C;big;RB
C;close;NN
C;close;VB
C;close;JJ
C;close;RB
C;girl;NN
C;good;NN
C;good;JJ
C;good;RB
C;grandma;NN
C;happy;JJ
C;hug;NN
C;hug;VB
C;hungry;JJ
C;know;NN
C;know;VB
C;little;NN
C;little;JJ
C;little;RB
C;mine;NN
C;mine;VB
C;open;NN
C;open;VB
C;open;JJ
C;other;JJ
C;peanut butter;NN
C;potty;NN
C;potty;JJ
C;right;NN
C;right;VB
C;right;JJ
C;right;RB
C;shoe;NN
C;shoe;VB
C;sick;NN
C;sick;VB
C;sick;JJ
C;stay;NN
C;stay;VB
C;stop;NN
C;stop;VB
C;table;NN
C;table;VB
C;toy;NN
C;toy;VB
C;want;NN
C;want;VB
C;wash;NN
C;wash;VB
C;can;MD
C;could;MD
C;will;MD
C;ball;NN
C;ball;VB
C;bath;NN
C;bath;VB
C;bathroom;NN
C;bed;NN
C;bed;VB
C;book;NN
C;book;VB
C;boy;NN
C;breakfast;NN
C;breakfast;VB
C;brother;NN
C;car;NN
C;cereal;NN
C;cereal;JJ
C;chair;NN
C;chair;VB
C;coat;NN
C;coat;VB
C;cookie;NN
C;do;NN
C;do;VB
C;door;NN
C;drink;NN
C;drink;VB
C;drive;NN
C;drive;VB
C;eat;VB
C;eye;NN
C;eye;VB
C;food;NN
C;friend;NN
C;garage;NN
C;garage;VB
C;go;NN
C;go;VB
C;go;JJ
C;good bye;NN
C;grandpa;NN
C;guy;NN
C;guy;VB
C;hand;NN
C;hand;VB
C;head;NN
C;head;VB
C;home;NN
C;home;VB
C;home;JJ
C;home;RB
C;hot;JJ
C;house;NN
C;house;VB
C;hurt;NN
C;hurt;VB
C;hurt;JJ
C;inside;IN
C;juice;NN
C;leg;NN
C;look;NN
C;look;VB
C;lunch;NN
C;lunch;VB
C;milk;NN
C;milk;VB
C;mom;NN
C;music;NN
C;okay;NN
C;okay;VB
C;okay;JJ
C;okay;RB
C;outside;IN
C;room;NN
C;room;VB
C;sad;JJ
C;school;NN
C;school;VB
C;see;NN
C;see;VB
C;sister;NN
C;sit;VB
C;something;NN
C;store;NN
C;store;VB
C;story;NN
C;thank you;NN
C;thing;NN
C;time;NN
C;time;VB
C;today;NN
C;today;RB
C;TV;NN
C;watch;NN
C;watch;VB
C;water;NN
C;water;VB
C;mad;JJ
C;pant;NN
C;pant;VB
C;people;NN
C;people;VB
C;yes;NN
C;he;PRP
C;him;PRP
C;I;PRP
C;it;PRP
C;me;PRP
C;she;PRP
C;them;PRP
C;they;PRP
C;us;PRP
C;we;PRP
C;you;PRP
C;her;PRP$
C;his;PRP$
C;my;PRP$
C;our;PRP$
C;their;PRP$
C;your;PRP$
C;around;IN
C;away;JJ
C;away;RB
C;first;NN
C;first;JJ
C;first;RB
C;going;NN
C;going;JJ
C;to;TO
C;here;NN
C;here;JJ
C;here;RB
C;just;JJ
C;just;RB
C;not;RB
C;now;NN
C;now;RB
C;so;NN
C;so;RB
C;sock;NN
C;sock;VB
C;then;NN
C;then;JJ
C;then;RB
C;too;RB
C;more;NN
C;more;JJ
C;more;RB
C;back;NN
C;back;VB
C;back;JJ
C;back;RB
C;down;NN
C;down;VB
C;down;JJ
C;down;RB
C;off;IN
C;be;NN
C;be;VB
C;cat;NN
C;cat;VB
C;dad;NN
C;dinner;NN
C;dog;NN
C;dog;VB
C;doll;NN
C;get;NN
C;get;VB
C;give;NN
C;give;VB
C;help;NN
C;help;VB
C;kitchen;NN
C;please;VB
C;please;RB
C;ride;NN
C;ride;VB
C;take;NN
C;take;VB
C;work;NN
C;work;VB
C;cold;NN
C;cold;JJ
C;say;VB
C;said;JJ
C;shirt;NN
C;shirt;VB
C;wa;NN
C;baby;NN
C;baby;VB
C;come;NN
C;come;VB
C;done;JJ
C;put;NN
C;put;VB
C;tire;VB
C;tired;JJ
C;are;NN
C;have;NN
C;have;VB
C;make;NN
C;make;VB
C;need;NN
C;need;VB
C;play;NN
C;play;VB
C;read;NN
C;read;VB
C;sleep;NN
C;sleep;VB
C;think;NN
C;think;VB
C;turn;NN
C;turn;VB
C;walk;NN
C;walk;VB
C;doe;NN
C;ha;NN
C;hi;NN
C;let;NN
C;let;VB
C;what;WP
C;who;WP
C;how;WRB
C;when;WRB
C;where;WRB
C;why;WRB
D;five;CD
D;one;CD
D;three;CD
D;two;CD
D;because;IN
D;bye;NN
D;like;IN
D;on;IN
D;over;IN
D;there;NN
D;there;RB
D;be;VB
D;through;IN
D;up;VB
D;up;JJ
D;up;RB
D;ant;NN
D;bad;NN
D;bad;JJ
D;bad;RB
D;big;JJ
D;big;RB
D;bite;NN
D;bite;VB
D;black;NN
D;black;VB
D;black;JJ
D;cookie;NN
D;different;JJ
D;fly;NN
D;fly;VB
D;fly;JJ
D;girl;NN
D;good;NN
D;good;JJ
D;good;RB
D;great;NN
D;great;JJ
D;green;NN
D;green;VB
D;green;JJ
D;hear;VB
D;hi;NN
D;high;NN
D;high;JJ
D;high;RB
D;hot;JJ
D;know;NN
D;know;VB
D;last;NN
D;last;VB
D;last;JJ
D;last;RB
D;long;VB
D;long;JJ
D;long;RB
D;messy;JJ
D;middle;NN
D;middle;VB
D;middle;JJ
D;new;JJ
D;new;RB
D;next;JJ
D;next;RB
D;nice;NN
D;nice;JJ
D;ok;NN
D;ok;JJ
D;ok;RB
D;old;NN
D;old;JJ
D;open;NN
D;open;VB
D;open;JJ
D;paint;NN
D;paint;VB
D;name;NN
D;name;VB
D;red;NN
D;red;JJ
D;right;NN
D;right;VB
D;right;JJ
D;right;RB
D;saw;NN
D;saw;VB
D;show;NN
D;show;VB
D;shut;VB
D;shut;JJ
D;top;NN
D;top;VB
D;top;JJ
D;use;VB
D;used;JJ
D;where;WRB
D;need;NN
D;need;VB
D;baby;NN
D;baby;VB
D;ball;NN
D;ball;VB
D;bathroom;NN
D;bean;NN
D;bean;VB
D;bed;NN
D;bed;VB
D;bird;NN
D;bird;VB
D;blue;NN
D;blue;VB
D;blue;JJ
D;box;NN
D;box;VB
D;boy;NN
D;call;NN
D;call;VB
D;candy;NN
D;candy;VB
D;car;NN
D;catch;NN
D;catch;VB
D;cause;NN
D;cause;VB
D;chair;NN
D;chair;VB
D;corn;NN
D;corn;VB
D;cup;NN
D;cup;VB
D;cut;NN
D;cut;VB
D;cut;JJ
D;day;NN
D;doctor;NN
D;doctor;VB
D;dog;NN
D;dog;VB
D;door;NN
D;duck;NN
D;duck;VB
D;eat;VB
D;fall;NN
D;fall;VB
D;finger;NN
D;finger;VB
D;fire;NN
D;fire;VB
D;foot;NN
D;foot;VB
D;get;NN
D;get;VB
D;hair;NN
D;hand;NN
D;hand;VB
D;hello;NN
D;help;NN
D;help;VB
D;hill;NN
D;hill;VB
D;home;NN
D;home;VB
D;home;JJ
D;home;RB
D;horse;NN
D;horse;VB
D;house;NN
D;house;VB
D;huh;NN
D;hum;NN
D;hum;VB
D;juice;NN
D;jump;NN
D;jump;VB
D;kind;NN
D;kind;JJ
D;look;NN
D;look;VB
D;lot;NN
D;lot;VB
D;lunch;NN
D;lunch;VB
D;make;NN
D;make;VB
D;man;NN
D;man;VB
D;mine;NN
D;mine;VB
D;mom;NN
D;mommy;NN
D;move;NN
D;move;VB
D;oh;NN
D;pick;NN
D;pick;VB
D;piece;NN
D;piece;VB
D;play;NN
D;play;VB
D;push;NN
D;push;VB
D;remember;VB
D;room;NN
D;room;VB
D;run;NN
D;run;VB
D;side;NN
D;side;VB
D;side;JJ
D;sit;VB
D;stuff;NN
D;stuff;VB
D;tape;NN
D;tape;VB
D;tell;NN
D;tell;VB
D;thing;NN
D;time;NN
D;time;VB
D;today;NN
D;today;RB
D;toy;NN
D;toy;VB
D;turn;NN
D;turn;VB
D;wait;NN
D;wait;VB
D;watch;NN
D;watch;VB
D;water;NN
D;water;VB
D;way;NN
D;way;RB
D;whole;NN
D;whole;JJ
D;whole;RB
D;um;NN
D;bug;NN
D;bug;VB
D;guy;NN
D;guy;VB
D;people;NN
D;people;VB
D;tree;NN
D;tree;VB
D;turtle;NN
D;turtle;VB
D;us;PRP
D;back;NN
D;back;VB
D;back;JJ
D;back;RB
D;bet;NN
D;bet;VB
D;better;NN
D;better;VB
D;well;RB
D;even;NN
D;even;VB
D;even;JJ
D;even;RB
D;first;NN
D;first;JJ
D;first;RB
D;going;NN
D;go;VB
D;going;JJ
D;to;TO
D;just;JJ
D;just;RB
D;little;NN
D;little;JJ
D;little;RB
D;so;NN
D;so;RB
D;still;NN
D;still;VB
D;still;JJ
D;still;RB
D;more;NN
D;more;JJ
D;more;RB
D;drink;NN
D;drink;VB
D;here;NN
D;here;JJ
D;here;RB
D;mean;NN
D;mean;VB
D;mean;JJ
D;go;NN
D;go;JJ
D;please;VB
D;please;RB
D;ride;NN
D;ride;VB
D;see;NN
D;see;VB
D;stop;NN
D;stop;VB
D;come;VB
D;found;NN
D;find;VB
D;found;JJ
D;made;JJ
D;say;VB
D;said;JJ
D;throw;VB
D;eating;NN
D;getting;NN
D;jumping;NN
D;looking;NN
D;looking;JJ
D;swing;NN
D;swing;VB
D;try;VB
D;trying;JJ
D;come;NN
D;do;VB
D;done;JJ
D;fix;VB
D;fixed;JJ
D;put;NN
D;put;VB
D;want;VB
D;wanted;JJ
D;ah;NN
D;buy;NN
D;buy;VB
D;face;NN
D;face;VB
D;find;NN
D;give;NN
D;give;VB
D;head;NN
D;head;VB
D;hold;NN
D;hold;VB
D;lift;NN
D;lift;VB
D;pet;NN
D;pet;VB
D;pet;JJ
D;say;NN
D;try;NN
D;use;NN
D;want;NN
D;leaf;NN
D;leave;VB
D;ya;NN
D;who;WP
D;and;CC
D;but;CC
D;or;CC
D;all;DT
D;an;DT
D;another;DT
D;any;DT
D;both;DT
D;no;DT
D;some;DT
D;that;IN
D;the;DT
D;these;DT
D;this;DT
D;those;DT
D;after;IN
D;around;IN
D;as;IN
D;at;IN
D;before;IN
D;by;IN
D;for;IN
D;from;IN
D;if;IN
D;in;IN
D;of;IN
D;than;IN
D;wa;NN
D;not;RB
D;while;IN
D;with;IN
D;are;NN
D;I;PRP
D;am;NN
D;it;PRP
D;let;NN
D;let;VB
D;many;JJ
D;much;NN
D;much;JJ
D;much;RB
D;other;JJ
D;ready;NN
D;ready;VB
D;ready;JJ
D;same;NN
D;same;JJ
D;most;JJ
D;most;RB
D;can;MD
D;could;MD
D;may;MD
D;must;MD
D;would;MD
D;do;NN
D;everybody;NN
D;everything;NN
D;have;VB
D;inside;IN
D;somebody;NN
D;someone;NN
D;something;NN
D;what;WP
D;will;MD
D;ours;NNS
D;yours;NNS
D;he;PRP
D;her;PRP$
D;him;PRP
D;me;PRP
D;myself;PRP
D;she;PRP
D;them;PRP
D;they;PRP
D;we;PRP
D;you;PRP
D;his;PRP$
D;my;PRP$
D;our;PRP$
D;their;PRP$
D;your;PRP$
D;about;IN
D;again;RB
D;almost;RB
D;already;RB
D;also;RB
D;away;JJ
D;away;RB
D;else;RB
D;never;RB
D;only;JJ
D;only;RB
D;really;RB
D;sometimes;RB
D;somewhere;NN
D;somewhere;RB
D;then;NN
D;then;JJ
D;then;RB
D;together;JJ
D;together;RB
D;too;RB
D;very;JJ
D;very;RB
D;well;NN
D;well;VB
D;well;JJ
D;yet;RB
D;down;NN
D;down;VB
D;down;JJ
D;down;RB
D;off;IN
D;out;IN
D;be;NN
D;cannot;NN
D;doe;NN
D;maybe;RB
D;yes;NN
D;being;NN
D;have;NN
D;ha;NN
D;which;WDT
D;how;WRB
D;when;WRB
D;why;WRB
E;I;PRP
E;no;DT
E;yes;NN
E;yeah;RB
E;want;NN
E;want;VB
E;it;PRP
E;that;IN
E;my;PRP$
E;you;PRP
E;more;NN
E;more;JJ
E;more;RB
E;mine;NN
E;mine;VB
E;the;DT
E;be;VB
E;on;IN
E;in;IN
E;here;NN
E;here;JJ
E;here;RB
E;out;IN
E;off;IN
E;a;DT
E;go;NN
E;go;VB
E;go;JJ
E;what;WP
E;some;DT
E;help;NN
E;help;VB
E;all done;NN
E;finish;VB
E;finished;JJ
F;you;PRP
F;I;PRP
F;the;DT
F;it;PRP
F;a;DT
F;no;DT
F;and;CC
F;can;MD
F;that;IN
F;my;PRP$
F;am;NN
F;be;VB
F;in;IN
F;this;DT
F;me;PRP
F;to;TO
F;one;CD
F;do;NN
F;do;VB
F;go;NN
F;go;VB
F;go;JJ
F;on;IN
F;have;NN
F;have;VB
F;get;NN
F;get;VB
F;what;WP
F;look;NN
F;look;VB
F;yeah;RB
F;there;NN
F;there;RB
F;we;PRP
F;your;PRP$
F;not;RB
F;let;NN
F;let;VB
F;here;NN
F;here;JJ
F;here;RB
F;he;PRP
F;going;NN
F;going;JJ
F;hey;NN
F;are;NN
F;oh;NN
F;put;NN
F;put;VB
F;up;VB
F;up;JJ
F;up;RB
F;just;JJ
F;just;RB
F;cannot;NN
F;well;NN
F;well;VB
F;well;JJ
F;well;RB
F;will;MD
F;come;NN
F;come;VB
F;um;NN
F;now;NN
F;now;RB
F;out;IN
F;big;JJ
F;big;RB
F;down;NN
F;down;VB
F;down;JJ
F;down;RB
F;of;IN
F;like;IN
F;where;WRB
F;ah;NN
F;be;NN
F;see;NN
F;see;VB
F;want;NN
F;want;VB
F;because;IN
F;know;NN
F;know;VB
F;okay;NN
F;okay;VB
F;okay;JJ
F;okay;RB
F;them;PRP
F;at;IN
F;for;IN
F;yes;NN
F;over;IN
F;all;DT
F;play;NN
F;play;VB
F;off;IN
F;with;IN
F;mine;NN
F;mine;VB
F;need;NN
F;need;VB
F;some;DT
F;Spiderman;NN
F;but;CC
F;two;CD
F;him;PRP
F;turn;NN
F;turn;VB
F;little;NN
F;little;JJ
F;little;RB
F;make;NN
F;make;VB
F;back;NN
F;back;VB
F;back;JJ
F;back;RB
F;tell;NN
F;tell;VB
F;they;PRP
F;then;NN
F;then;JJ
F;then;RB
F;dwant;NN
F;hello;NN
F;our;PRP$
F;watch;NN
F;watch;VB
F;how;WRB
F;away;JJ
F;away;RB
F;sit;VB
F;found;NN
F;find;VB
F;found;JJ
F;friend;NN
F;these;DT
F;wa;NN
F;yep;NN
F;baby;NN
F;baby;VB
F;doe;NN
F;only;JJ
F;only;RB
F;she;PRP
F;his;PRP$
F;spider;NN
F;too;RB
F;mum;NN
F;mum;JJ
F;so;NN
F;so;RB
F;time;NN
F;time;VB
F;more;NN
F;more;JJ
F;more;RB
F;remember;VB
F;who;WP
F;why;WRB
F;hat;NN
F;hat;VB
F;woh;NN
F;than;IN
F;yours;NNS
F;ha;NN
F;one;NN
F;saw;NN
F;saw;VB
F;four;CD
F;move;NN
F;move;VB
F;run;NN
F;run;VB
F;throw;NN
F;throw;VB
F;coming;NN
F;coming;JJ
F;drink;NN
F;drink;VB
F;five;CD
F;gotta;NN
F;if;IN
F;leave;NN
F;leave;VB
F;making;NN
F;yummy;JJ
F;mummy;NN
F;other;JJ
F;please;VB
F;please;RB
F;say;VB
F;said;JJ
F;stay;NN
F;stay;VB
F;thing;NN
F;those;DT
F;when;WRB
F;give;NN
F;give;VB
F;hah;NN
F;kick;NN
F;kick;VB
F;push;NN
F;push;VB
F;sand;NN
F;sand;VB
